feature,gain,fold
mfcc_15_mean,0.00618129875510931,2
dominant_frequency_ratio,0.005927660036832094,2
mfcc_7_mean,0.005717495921999216,2
mfcc_0_p90,0.005673866253346205,2
mfcc_1_std,0.005600431002676487,2
rolloff85_mean,0.005328136030584574,2
mfcc_delta_18_std,0.00527050020173192,2
mfcc_10_p90,0.0052576190792024136,2
contrast_5_p10,0.005219334736466408,2
mfcc_4_std,0.0051808287389576435,2
contrast_0_mean,0.0051007685251533985,2
mfcc_8_std,0.005062628071755171,2
mfcc_delta_7_p90,0.005055001005530357,2
contrast_3_p10,0.004973152652382851,2
mfcc_5_mean,0.004395497962832451,2
rolloff85_p10,0.004353474359959364,2
mfcc_delta_16_p10,0.004336704965680838,2
mfcc_8_p90,0.004313986282795668,2
mfcc_6_mean,0.004294783342629671,2
mfcc_delta_9_p90,0.004269423428922892,2
mfcc_delta_10_p10,0.004252118058502674,2
mfcc_11_std,0.0042077163234353065,2
mfcc_1_mean,0.004203255288302898,2
mfcc_1_p10,0.004193245433270931,2
mfcc_9_p10,0.00416210200637579,2
contrast_4_mean,0.004142852034419775,2
mfcc_delta_17_p10,0.0041403574869036674,2
mfcc_16_mean,0.004055024590343237,2
mfcc_13_p90,0.004014119505882263,2
mfcc_18_mean,0.0038858556654304266,2
mfcc_1_p90,0.0038009770214557648,2
mfcc_delta_13_std,0.0037897599395364523,2
mfcc_13_mean,0.0037405327893793583,2
mfcc_7_p10,0.0036426475271582603,2
mfcc_12_p10,0.003627003636211157,2
mfcc_17_std,0.0036264413502067327,2
mfcc_delta_15_std,0.003591731423512101,2
mfcc_18_p90,0.0035663233138620853,2
mfcc_2_mean,0.15550485253334045,3
mfcc_2_p10,0.04808036610484123,3
mfcc_2_p90,0.03815753385424614,3
contrast_3_p10,0.017808567732572556,3
contrast_3_mean,0.014932909049093723,3
mfcc_4_p10,0.012793718837201595,3
flatness_std,0.012343804351985455,3
bandwidth_mean,0.01183608453720808,3
bandwidth_p90,0.010660726577043533,3
mfcc_7_p10,0.009732220321893692,3
bandwidth_p10,0.009191269986331463,3
zero_crossing_rate_mean,0.00846038106828928,3
mfcc_7_mean,0.00827134307473898,3
contrast_0_p90,0.007872273214161396,3
mfcc_6_p90,0.007844042964279652,3
