feature,gain,fold
mfcc_6_std,0.003239787882193923,0
mfcc_2_std,0.0032001310028135777,0
contrast_0_p10,0.16646966338157654,1
rms_mean,0.06889434903860092,1
mfcc_4_p10,0.04334775730967522,1
mfcc_4_mean,0.026715049520134926,1
contrast_0_mean,0.02548077702522278,1
rms_p10,0.022288821637630463,1
bandwidth_p10,0.017404405400156975,1
rms_p90,0.01457524299621582,1
rolloff85_mean,0.014234394766390324,1
mfcc_12_mean,0.012837112881243229,1
centroid_p10,0.01196354627609253,1
bandwidth_std,0.011766877956688404,1
mfcc_1_mean,0.010823921300470829,1
contrast_3_p10,0.010648274794220924,1
mfcc_5_p10,0.010327988304197788,1
rolloff85_p10,0.008103246800601482,1
contrast_0_p90,0.007963312789797783,1
mfcc_12_p90,0.007850144989788532,1
mfcc_11_p90,0.007133640814572573,1
mfcc_3_p10,0.007026837673038244,1
mfcc_3_mean,0.007009307388216257,1
contrast_5_p90,0.006778495851904154,1
mfcc_1_std,0.006692436523735523,1
zero_crossing_rate_mean,0.0060147009789943695,1
mfcc_3_p90,0.005949013400822878,1
centroid_p90,0.005909348372370005,1
mfcc_1_p90,0.005882411729544401,1
centroid_std,0.00573418103158474,1
mfcc_8_mean,0.005591793917119503,1
contrast_5_mean,0.005533057730644941,1
dominant_frequency,0.005516894161701202,1
mfcc_4_p90,0.005264856852591038,1
zero_crossing_rate_p10,0.005155152641236782,1
zero_crossing_rate_p90,0.005033319350332022,1
mfcc_delta_8_std,0.004942584317177534,1
mfcc_14_std,0.004804649390280247,1
dominant_frequency_ratio,0.004705213010311127,1
mfcc_8_p90,0.00465926481410861,1
mfcc_delta_0_p10,0.004643111955374479,1
centroid_mean,0.004633300006389618,1
mfcc_5_mean,0.004627429414540529,1
mfcc_16_mean,0.0045679290778934956,1
bandwidth_mean,0.004470610059797764,1
mfcc_12_p10,0.0043449425138533115,1
mfcc_15_mean,0.00431585730984807,1
mfcc_16_p10,0.0043002464808523655,1
mfcc_13_p10,0.004251438193023205,1
mfcc_2_p10,0.004222499206662178,1
contrast_5_p10,0.004206706304103136,1
contrast_1_mean,0.004178158938884735,1
flatness_mean,0.004076467361301184,1
mfcc_1_p10,0.0040224636904895306,1
mfcc_delta_1_std,0.003938310779631138,1
mfcc_delta_7_std,0.003881080076098442,1
mfcc_5_p90,0.003871613647788763,1
mfcc_delta_1_p10,0.003869076259434223,1
mfcc_delta_14_p90,0.003862632205709815,1
spectral_entropy_p10,0.0038508260622620583,1
contrast_3_mean,0.003841310041025281,1
mfcc_6_p10,0.003688027150928974,1
rms_p90,0.09207508713006973,2
rms_p10,0.05663594603538513,2
rms_mean,0.05299830809235573,2
contrast_0_mean,0.044487081468105316,2
contrast_0_p90,0.03435612842440605,2
mfcc_1_p10,0.02865995094180107,2
dominant_frequency_ratio,0.024296175688505173,2
zero_crossing_rate_p90,0.02196655422449112,2
mfcc_4_p10,0.014061417430639267,2
spectral_entropy_mean,0.013114661909639835,2
mfcc_2_p10,0.012703288346529007,2
bandwidth_std,0.01251483429223299,2
dominant_frequency,0.011650932021439075,2
mfcc_1_mean,0.00997148733586073,2
flatness_p10,0.009472786448895931,2
mfcc_6_std,0.008825371973216534,2
mfcc_4_mean,0.008805165067315102,2
contrast_1_p10,0.008765281178057194,2
contrast_1_mean,0.008688511326909065,2
contrast_0_p10,0.008659263141453266,2
mfcc_11_mean,0.008247273974120617,2
mfcc_2_mean,0.007853521965444088,2
flatness_mean,0.0075284261256456375,2
mfcc_3_p10,0.0072217476554214954,2
mfcc_11_p10,0.007185673341155052,2
mfcc_12_mean,0.00704675167798996,2
centroid_p10,0.006982423830777407,2
mfcc_15_p90,0.006656429264694452,2
rolloff85_p10,0.00630040280520916,2
mfcc_18_mean,0.006238201633095741,2
centroid_std,0.005849476903676987,2
mfcc_3_mean,0.0057726227678358555,2
mfcc_12_p90,0.005748661234974861,2
mfcc_delta_10_std,0.005741097964346409,2
mfcc_delta_0_std,0.005606470163911581,2
mfcc_6_p10,0.005407603457570076,2
contrast_5_p90,0.00535390293225646,2
mfcc_delta_0_p10,0.005342791322618723,2
spectral_entropy_p90,0.005313166882842779,2
rolloff85_std,0.005283678881824017,2
mfcc_16_p90,0.005277939606457949,2
contrast_4_p90,0.0052318149246275425,2
contrast_5_std,0.005208992399275303,2
mfcc_delta_10_p90,0.005083403550088406,2
mfcc_15_mean,0.004998239688575268,2
mfcc_delta_1_p10,0.0048698666505515575,2
mfcc_7_mean,0.0047974055632948875,2
contrast_1_p90,0.0047871447168290615,2
mfcc_18_p10,0.0046620494686067104,2
mfcc_10_mean,0.0046518645249307156,2
mfcc_9_p90,0.004642290063202381,2
mfcc_9_p10,0.004627919755876064,2
mfcc_3_p90,0.004501251503825188,2
mfcc_12_p10,0.004481490235775709,2
bandwidth_mean,0.004429434426128864,2
mfcc_5_mean,0.0043899137526750565,2
rolloff85_mean,0.004365117754787207,2
mfcc_1_std,0.004345808643847704,2
rms_std,0.004320266656577587,2
centroid_p90,0.00421958789229393,2
rms_p10,0.1142737865447998,3
dominant_frequency,0.047272223979234695,3
rms_mean,0.04622871056199074,3
rms_p90,0.026805248111486435,3
spectral_entropy_mean,0.013719054870307446,3
mfcc_3_p10,0.012546834535896778,3
contrast_0_p10,0.01231590285897255,3
contrast_0_p90,0.01219751127064228,3
spectral_entropy_p10,0.011961312033236027,3
