feature,gain,fold
contrast_2_p90,0.006428202148526907,4
mfcc_2_p90,0.006254229228943586,4
mfcc_delta_2_std,0.006231289356946945,4
mfcc_0_mean,0.006163077894598246,4
mfcc_6_mean,0.0061590420082211494,4
mfcc_delta_11_p90,0.006079733371734619,4
mfcc_delta_5_p10,0.005915177520364523,4
mfcc_12_p90,0.005497496109455824,4
mfcc_2_std,0.005331955384463072,4
mfcc_delta_2_p10,0.005315008107572794,4
mfcc_16_mean,0.005257022101432085,4
contrast_5_mean,0.00514888484030962,4
mfcc_delta_12_std,0.005000395700335503,4
contrast_1_mean,0.0049365670420229435,4
dominant_frequency_ratio,0.004934784024953842,4
mfcc_18_p10,0.0049127573147416115,4
rms_p10,0.0048800804652273655,4
mfcc_6_std,0.004797950852662325,4
mfcc_3_std,0.004726397804915905,4
mfcc_6_p10,0.004671109840273857,4
mfcc_17_p90,0.004634700249880552,4
